Tag,AGORA Model Name,TaxTree/NCIB ID,OpACIN-fDNA-001,OpACIN-fDNA-002,OpACIN-fDNA-003,OpACIN-fDNA-004,OpACIN-fDNA-005,OpACIN-fDNA-006,OpACIN-fDNA-007,OpACIN-fDNA-008,OpACIN-fDNA-009,OpACIN-fDNA-010,OpACIN-fDNA-011,OpACIN-fDNA-012,OpACIN-fDNA-013,OpACIN-fDNA-014,OpACIN-fDNA-015,OpACIN-fDNA-016,OpACIN-fDNA-017,OpACIN-fDNA-018,OpACIN-fDNA-019,OpACIN-fDNA-020,OpACIN-fDNA-021,OpACIN-fDNA-022,OpACIN-fDNA-023,OpACIN-fDNA-024,OpACIN-fDNA-025,OpACIN-fDNA-026,OpACIN-fDNA-027,OpACIN-fDNA-028,OpACIN-fDNA-029,OpACIN-fDNA-030,OpACIN-fDNA-031,OpACIN-fDNA-032,OpACIN-fDNA-033,OpACIN-fDNA-034,OpACIN-fDNA-035,OpACIN-fDNA-037,OpACIN-fDNA-038,OpACIN-fDNA-039,PAUS-base16567,PAUS-base20807,PAUS-base27704,PAUS-base34671,PAUS-base35603,PAUS-base36885,PAUS-base38798,PAUS-base44051,PAUS-base48040,PAUS-base48446,PAUS-base49317,PAUS-base49623,PAUS-base50750,PAUS-base51030,PAUS-base51377,PAUS-base51517,PAUS-base51558,PAUS-base51584,PAUS-base51679,PAUS-base51771,PAUS-base51823,PAUS-base51884,PAUS-base51887,PAUS-base51902,PAUS-base52021,PAUS-base52436,PAUS-base52513,PAUS-base52521,PAUS-base52534,PAUS-base52550,PAUS-base52579,PAUS-base52729,PAUS-base52757,PradoNKIbase106,PradoNKIbase107,PradoNKIbase108,PradoNKIbase109,PradoNKIbase110,PradoNKIbase112,PradoNKIbase113,PradoNKIbase114,PradoNKIbase115,PradoNKIbase116,PradoNKIbase117,PradoNKIbase118,PradoNKIbase119,PradoNKIbase120,PradoNKIbase121,PradoNKIbase122,PradoNKIbase123,PradoNKIbase124,PradoNKIbase125,PradoNKIbase128,PradoNKIbase129,PradoNKIbase130,PradoNKIbase131,PradoNKIbase132,PradoNKIbase134,PradoNKIbase135,PradoNKIbase136,PradoNKIbase137,PradoNKIbase139,PradoNKIbase140,PradoNKIbase142,PradoNKIbase143
_eligens_ATCC_27750_0,Eubacterium_eligens_ATCC_27750, eligens ATCC 27750,0.0089,0.0399,0.0138,0.0035,0.0004,0.0203,0.0155,0.0322,0,0.0508,0.022,0.0171,0.0067,0.0079,0.0258,0.0174,0.0248,0.001,0.0026,0,0.0098,0.0056,0.0019,0.0022,0.021,0.0078,0.0142,0,0.0173,0.0831,0.027,0.0085,0.0216,0.005,0.0145,0.0161,0.0838,0.0161,0.0032,0.0148,0.0107,0.0151,0.0054,0.0117,0.0354,0.012,0.0319,0.0123,0,0.0092,0.0063,0.0045,0.0118,0.001,0.0134,0.0111,0.0256,0.0066,0.016,0.0275,0.0048,0.0292,0.0628,0.001,0.0063,0.0073,0.0031,0.0186,0.017,0.076,0.0064,0.0121,0.0075,0.0016,0.0255,0.0104,0.0102,0.0042,0.0183,0.093,0.0123,0.0168,0.0066,0.016,0.0343,0.0693,0.0033,0.0229,0.0019,0.0128,0.0284,0.0347,0.086,0.0164,0.0162,0.0149,0.0046,0.0352,0.0093,0.0186,0.0035,0.0073,0.038
Collinsella_tanakaei_YIT_12063_0,Collinsella_tanakaei_YIT_12063,Collinsella tanakaei YIT 12063,0.0074,0.0135,0.0244,0,0.0196,0.0034,0.0148,0.0155,0,0,0,0.0179,0,0.0053,0.0067,0.0136,0.0078,0.0061,0.0045,0,0.0157,0.0256,0.0032,0.0426,0,0.0138,0.016,0,0.0289,0,0,0.018,0,0.0086,0.0048,0.0095,0,0.0106,0,0,0,0.0136,0,0.024,0.0219,0.0254,0,0,0.0081,0.0178,0.0082,0.0022,0,0.0108,0.013,0,0,0.0102,0.0102,0,0.0362,0.0072,0.0015,0.0104,0.0223,0.0053,0,0,0.0028,0.0057,0.0192,0.0184,0.0059,0.0124,0,0.0071,0.0555,0.008,0.0652,0.0019,0.0186,0.0096,0.0091,0.093,0.0097,0.0025,0.009,0.0727,0.1006,0.005,0.068,0.0044,0.0522,0.0121,0.0527,0.0344,0.0094,0.0077,0,0.0521,0.0729,0.0057,0.034
_gnavus_ATCC_29149_0,Ruminococcus_gnavus_ATCC_29149, gnavus ATCC 29149,0.0208,0.0341,0,0.0486,0.0183,0.0148,0.0199,0.0161,0,0,0,0,0.0084,0.004,0.0096,0.0124,0.0115,0.0015,0.0085,0,0.0104,0.0207,0.01,0.0406,0.0087,0.0062,0.0154,0,0.0135,0,0.0298,0.0322,0.0282,0.005,0.0082,0.0141,0,0.0155,0.0173,0,0,0.0092,0.0264,0.0225,0.0153,0.0267,0.0206,0.016,0.0035,0.025,0.0036,0.0141,0.0276,0.0042,0.0175,0,0,0.0324,0.0048,0.0005,0.0231,0,0.0038,0.0244,0.0079,0.0113,0.0171,0.0369,0.0053,0.0176,0.0157,0.0193,0.0202,0.0081,0.0187,0.0276,0.0163,0.0282,0.0363,0.0204,0.0104,0.0227,0.0162,0.0406,0.0189,0.0333,0.0174,0.0171,0.0258,0.0162,0.0164,0.0099,0.0066,0.0123,0.0155,0.031,0.0035,0.0268,0.012,0.0929,0.0759,0.013,0.0491
Akkermansia_muciniphila_ATCC_BAA835_0,Akkermansia_muciniphila_ATCC_BAA_835,Akkermansia muciniphila ATCC BAA-835,0.0023,0.0213,0.0182,0.037,0,0,0,0.0627,0,0,0,0.001,0.0005,0,0.0001,0,0,0,0,0,0,0,0,0,0.0066,0,0.0107,0,0,0,0,0,0,0.0402,0.0093,0.036,0,0,0,0.0041,0,0,0,0.0009,0.0018,0.0029,0,0,0,0.0278,0.0003,0.0016,0.0023,0,0,0,0,0,0,0.0152,0,0,0.0539,0,0.1488,0.0154,0,0,0,0.0346,0.0215,0.023,0.0004,0.0001,0.0074,0.0005,0.0256,0.0067,0.0475,0.0057,0,0,0,0.0435,0.0003,0.1252,0,0.0003,0.0001,0.1681,0.0047,0.0713,0.0001,0.0008,0.0001,0,0.1773,0.0001,0.0529,0,0.0003,0.0001,0.0011
Prevotella_melaninogenica_ATCC_25845_0,Prevotella_melaninogenica_ATCC_25845,Prevotella melaninogenica ATCC 25845,0,0,0,0,0.2485,0,0.0001,0,0,0,0,0,0,0,0.2756,0,0,0.0001,0.1494,0,0.0002,0,0.2031,0,0,0.1658,0,0,0.104,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0.0324,0,0,0,0,0.0109,0,0,0,0,0,0,0,0.1482,0,0,0.0024,0,0,0,0,0,0,0,0.0062,0,0,0.1028,0.0406,0.004,0,0.0718,0,0,0,0.0106,0.0001,0,0,0.0001,0.0284,0,0.0059,0.0152,0.0048,0.0004,0.0047,0,0,0,0.0009,0.0045,0,0,0,0,0.0051,0,0.0035
Blautia_obeum_ATCC_29174_1,Blautia_obeum_ATCC_29174,Blautia obeum ATCC 29174,0.0074,0.004,0.0111,0.0018,0.0081,0.0128,0.017,0.0176,0,0,0,0,0.0052,0.0084,0.017,0.0359,0.0083,0.0308,0.0111,0,0.0085,0.0184,0.0078,0.0013,0.0194,0.0146,0.0092,0.0022,0.0311,0,0.0006,0.0004,0.0167,0.012,0.0163,0.0029,0.0209,0.0067,0.0079,0,0.0022,0.0056,0.0251,0.0472,0.0064,0.0143,0.0056,0,0.0015,0.0027,0.0198,0.0078,0.0088,0.0068,0.0507,0,0.0062,0.0143,0.0085,0.0008,0.0034,0.0211,0.0261,0.016,0.0112,0.0075,0.0075,0,0.0249,0.0581,0.006,0.0271,0.045,0.0382,0.0139,0.0132,0.0049,0.0067,0.0353,0.0029,0.0135,0.0052,0.0164,0.0142,0.0387,0.0068,0.0273,0.0366,0.0248,0.0035,0.0505,0.0763,0.0019,0.003,0.0405,0.0359,0.0133,0.0191,0.0159,0.0024,0.0245,0.005,0.0065
_methylpentosum_3,Clostridium_methylpentosum_R2_DSM_5476, methylpentosum,0.0048,0.008,0,0.0026,0.0049,0.024,0.0208,0.0155,0,0.0037,0,0,0.0104,0.0096,0.0141,0.0052,0.0026,0.0168,0.0012,0.0358,0.0099,0.0002,0.0026,0.0018,0.0264,0.0024,0.0053,0,0.0056,0,0.0024,0.0246,0.0039,0.0014,0.0117,0.0025,0.0148,0.0039,0.0104,0.0002,0.0723,0,0,0.0857,0.0046,0.006,0,0.0098,0.0055,0,0.0042,0.0182,0.0017,0.0234,0.011,0,0.033,0.0121,0.0202,0,0.0072,0.0235,0.0055,0,0.0062,0.0424,0.0308,0.049,0.0177,0.0096,0.0228,0.0031,0.0202,0.0216,0.0374,0.0216,0.0097,0.0077,0.0447,0.0706,0.0341,0.0038,0.0026,0.0229,0.004,0.0124,0.044,0.0074,0.053,0.0118,0.0614,0.0252,0.0011,0.0011,0.0094,0.0075,0.0007,0.0062,0.0103,0.004,0.015,0.0178,0.0189
_spiroforme_DSM_1552_0,Clostridium_spiroforme_DSM_1552, spiroforme DSM 1552,0.0041,0.0056,0.0019,0.0003,0,0.0047,0.008,0.0044,0,0.0004,0,0.0795,0.0141,0.015,0,0.011,0.0237,0.0135,0.0017,0,0.0134,0,0.0028,0.0081,0.0188,0.0023,0.0069,0.0028,0.0395,0,0.0013,0.0324,0.0084,0.0092,0.0075,0.0078,0.0071,0.0117,0.004,0,0.0055,0,0,0.032,0.0003,0.0052,0.0597,0.0337,0,0.0064,0.0139,0.0062,0.0893,0,0,0,0.0773,0.0003,0.0042,0.0004,0.0016,0,0.0435,0.0034,0.0004,0.0048,0.0337,0,0.0182,0.0185,0.011,0.0314,0.0172,0.0021,0.0342,0.0126,0.0162,0.006,0.0205,0.0016,0,0.0003,0.0338,0.0008,0.0588,0.0182,0.0279,0.0138,0.0052,0.0093,0.0157,0.0114,0.0983,0.005,0.005,0.0037,0.0023,0.013,0.008,0.0001,0.0164,0.0588,0.0056
Bifidobacterium_longum_infantis_ATCC_15697_0,Bifidobacterium_longum_infantis_ATCC_15697,None,0.0161,0.0217,0.026,0.0411,0.0062,0,0.048,0.0148,0,0.0648,0.0076,0,0,0.0176,0.0132,0.0398,0,0.0026,0,0.0918,0.0185,0.0165,0.0004,0.0867,0.0017,0,0.021,0,0.002,0.0003,0.103,0.0035,0.0024,0.0016,0.0021,0.001,0,0.0326,0.0008,0.0058,0.0263,0.0133,0,0.0259,0.0062,0,0.034,0,0,0,0.0224,0.0038,0,0.0039,0.0004,0,0.0212,0,0.0092,0.0119,0.0014,0,0.0034,0,0.0041,0.0147,0,0.012,0.032,0,0.0019,0.0015,0.0031,0.0019,0.037,0.005,0.0073,0.0226,0.0131,0,0,0.0051,0,0.0369,0,0.0028,0.0012,0.0009,0.0425,0.0002,0,0,0,0.0111,0,0.0013,0.006,0.0056,0.0206,0.0158,0.0318,0.003,0.0059
_methylpentosum_4,Clostridium_methylpentosum_R2_DSM_5476, methylpentosum,0.04,0.0066,0,0.0115,0.0018,0.0146,0.0176,0.0165,0,0.0025,0,0,0.0056,0.0009,0.0047,0.0025,0.0125,0.0058,0.0008,0.0114,0.0092,0.0005,0.0032,0.0035,0.0011,0.0011,0.019,0.0038,0.0054,0,0,0.0183,0.0134,0.054,0.0074,0.0116,0.0029,0.0184,0.0079,0.0012,0.007,0,0,0.0246,0.0239,0.0048,0.0013,0.0107,0.0041,0.0075,0.0033,0.0275,0,0.006,0.0025,0,0.0083,0.0075,0.0018,0.0017,0.0176,0.0222,0.0239,0,0.0424,0.0096,0.0529,0.0009,0.0174,0.0033,0.0109,0.0053,0.0187,0.0241,0.0001,0.0208,0.0277,0.0026,0.003,0.0015,0.0218,0.0067,0.0428,0.0135,0.0065,0.0666,0.0293,0.0171,0.0017,0.0018,0,0.0009,0.0014,0.0309,0.0188,0.0113,0.0084,0.0047,0.0346,0.0066,0.0113,0.0073,0.012
Methanobrevibacter_smithii_ATCC_35061_0,Methanobrevibacter_smithii_ATCC_35061,Methanobrevibacter smithii ATCC 35061,0.0477,0.0135,0,0.0128,0.0011,0.0007,0,0.0204,0.0059,0,0,0,0,0.0275,0,0.0002,0,0.0125,0.0015,0,0,0,0,0.0004,0,0,0.0356,0,0.0279,0,0,0.015,0,0.0124,0,0,0,0,0,0.0059,0,0,0,0,0.0295,0.0094,0,0,0.0138,0,0,0.0052,0,0.0018,0,0,0,0.0084,0,0.0122,0.12,0,0,0,0.0593,0.0128,0,0.0002,0.0269,0.0046,0.0139,0.002,0,0.0012,0,0,0.0398,0,0,0.0882,0.0003,0.0384,0.0559,0.0226,0.0019,0.0459,0,0.0066,0,0.0465,0,0.02,0,0.0148,0,0.0004,0.0979,0.0012,0.0132,0,0.0147,0,0.0156
_rectale_ATCC_33656_1,Eubacterium_rectale_ATCC_33656, rectale ATCC 33656,0.015,0,0.0016,0,0,0.0122,0,0.022,0,0,0,0,0.0034,0.0026,0,0,0.0114,0.0117,0.0026,0,0.0144,0,0.0041,0,0.0083,0.0125,0.0069,0,0.0066,0,0.0018,0.0032,0.0067,0.0234,0.004,0,0,0,0,0.01,0.0057,0.0817,0.0044,0,0.0075,0.092,0.0053,0.0086,0.0201,0,0.0261,0.0055,0.0181,0,0,0,0,0.0131,0.057,0.0102,0,0.0191,0.0044,0.1483,0.0057,0.0322,0.0209,0.0024,0.0068,0.0245,0.0383,0,0,0.0349,0,0.0066,0.0214,0.0313,0.0009,0,0.0441,0.0031,0.0041,0.0029,0,0,0.0742,0.0078,0.0434,0,0.0089,0,0,0.0244,0.0014,0,0,0.0405,0.035,0.0304,0.0023,0.017,0
Blautia_producta_ATCC_27340_DSM_2950_0,Blautia_producta_DSM_2950,Blautia producta ATCC 27340 = DSM 2950,0.0038,0.0296,0.0103,0.0015,0.0046,0.0053,0.0133,0.0094,0,0.0134,0,0.0164,0.0077,0.0162,0.0018,0.0064,0.0092,0.0286,0.0071,0.0092,0.0047,0.001,0.0082,0.0086,0.0251,0.0039,0.0137,0.003,0.0105,0,0.0201,0.0091,0.0069,0.0031,0.0109,0.0154,0.0042,0.0049,0.0044,0.004,0.0087,0.0069,0.0327,0.0084,0.0054,0.0052,0.0034,0.0237,0.0108,0.0131,0.0062,0.0117,0.0773,0.008,0.0073,0.0379,0.0084,0.0024,0.0084,0.0051,0.0241,0.0058,0.0084,0.0034,0.0028,0.0061,0.0313,0,0.0381,0.0171,0.0075,0.0014,0.0184,0.0064,0.0167,0.0129,0.0044,0.0041,0.0099,0.0327,0.0146,0.0139,0.0098,0.0104,0.0029,0.0181,0.013,0.0058,0.0033,0.0018,0.0331,0.0197,0.0276,0.0255,0.0147,0.0122,0.0039,0.0097,0.0092,0.0024,0.0133,0.0088,0.0078
Phocaeicola_vulgatus_ATCC_8482_1,Bacteroides_vulgatus_ATCC_8482,Phocaeicola vulgatus ATCC 8482,0.0047,0,0,0,0.0054,0.0132,0.0033,0.0057,0.0004,0.0682,0.0064,0.0027,0,0.0167,0,0.0566,0,0.0161,0,0.0438,0.0095,0,0.0034,0,0,0.0334,0,0.0047,0.0121,0.0161,0.0386,0,0,0,0.0166,0.0952,0.128,0,0,0,0,0.0261,0,0.002,0.0052,0,0.0188,0,0,0,0.1669,0.0087,0,0.0034,0.0151,0,0.0032,0,0,0,0,0.0029,0.0139,0.0158,0.0015,0,0,0,0.0062,0.0086,0,0.0082,0.0052,0.0024,0.0515,0.0018,0,0.0064,0.0031,0.0009,0,0.0024,0.0023,0.0016,0.0016,0,0.0275,0,0.0079,0,0.0041,0.0056,0.0063,0,0.0181,0.0009,0.0023,0.0118,0.0265,0.0113,0,0,0
