source,target,source_models,target_models,edge_width
_methylpentosum_0,Phascolarctobacterium_succinatutens_YIT_12067_0,Clostridium_methylpentosum_R2_DSM_5476,Phascolarctobacterium_succinatutens_YIT_12067,-0.0125831159533427
_methylpentosum_0,Butyricicoccus_pullicaecorum_1.2_0,Clostridium_methylpentosum_R2_DSM_5476,Butyricicoccus_pullicaecorum_1_2,0.0422266216747756
_methylpentosum_0,_methoxybenzovorans_SR3_12,Clostridium_methylpentosum_R2_DSM_5476,Clostridium_methoxybenzovorans_SR3,0.0289027182976478
_methylpentosum_0,Schaalia_georgiae_DSM_6843_0,Clostridium_methylpentosum_R2_DSM_5476,Actinomyces_georgiae_DSM_6843,-0.0145976516532817
_methylpentosum_1,Blautia_obeum_ATCC_29174_0,Clostridium_methylpentosum_R2_DSM_5476,Blautia_obeum_ATCC_29174,0.120983810916329
_methylpentosum_1,Streptococcus_cristatus_ATCC_51100_0,Clostridium_methylpentosum_R2_DSM_5476,Streptococcus_cristatus_ATCC_51100,-0.0062908926026865
_methylpentosum_1,_eligens_ATCC_27750_1,Clostridium_methylpentosum_R2_DSM_5476,Eubacterium_eligens_ATCC_27750,0.0494153561233126
_methylpentosum_1,Blautia_obeum_ATCC_29174_3,Clostridium_methylpentosum_R2_DSM_5476,Blautia_obeum_ATCC_29174,0.105359987069691
_methylpentosum_1,_hylemonae_DSM_15053_1,Clostridium_methylpentosum_R2_DSM_5476,Clostridium_hylemonae_DSM_15053,0.0250267388021346
_methylpentosum_1,_methylpentosum_15,Clostridium_methylpentosum_R2_DSM_5476,Clostridium_methylpentosum_R2_DSM_5476,-0.0183376782847007
_methylpentosum_1,Amedibacillus_dolichus_DSM_3991_1,Clostridium_methylpentosum_R2_DSM_5476,Eubacterium_dolichum_DSM_3991,-0.0071369402179836
_methylpentosum_1,Pseudoflavonifractor_capillosus_ATCC_29799_14,Clostridium_methylpentosum_R2_DSM_5476,Pseudoflavonifractor_capillosus_strain_ATCC_29799,-0.0147972543112774
_methylpentosum_1,_methylpentosum_23,Clostridium_methylpentosum_R2_DSM_5476,Clostridium_methylpentosum_R2_DSM_5476,-0.0032946544336125
_methylpentosum_1,Acetivibrio_clariflavus_DSM_19732_1,Clostridium_methylpentosum_R2_DSM_5476,Clostridium_clariflavum_DSM_19732,-0.0593497888986311
_methylpentosum_1,Ruminiclostridium_cellobioparum_DSM_1351_ATCC_15832_43,Clostridium_methylpentosum_R2_DSM_5476,Clostridium_cellobioparum_DSM_1351,-0.0213264526672179
Phocaeicola_vulgatus_ATCC_8482_0,Phocaeicola_vulgatus_ATCC_8482_1,Bacteroides_vulgatus_ATCC_8482,Bacteroides_vulgatus_ATCC_8482,-0.0130133903537401
Phocaeicola_vulgatus_ATCC_8482_0,_methylpentosum_6,Bacteroides_vulgatus_ATCC_8482,Clostridium_methylpentosum_R2_DSM_5476,0.0023597433767962
Phocaeicola_vulgatus_ATCC_8482_0,Coprococcus_comes_ATCC_27758_0,Bacteroides_vulgatus_ATCC_8482,Coprococcus_comes_ATCC_27758,0.0311170367135566
Phocaeicola_vulgatus_ATCC_8482_0,Bacteroides_faecis_MAJ27_0,Bacteroides_vulgatus_ATCC_8482,Bacteroides_faecis_MAJ27,0.0236302128126742
Phocaeicola_vulgatus_ATCC_8482_0,Alistipes_shahii_WAL_8301_0,Bacteroides_vulgatus_ATCC_8482,Alistipes_shahii_WAL_8301,0.0045475963165223
Phocaeicola_vulgatus_ATCC_8482_0,_methoxybenzovorans_SR3_12,Bacteroides_vulgatus_ATCC_8482,Clostridium_methoxybenzovorans_SR3,0.0444878116542892
Phocaeicola_vulgatus_ATCC_8482_0,Pseudoflavonifractor_capillosus_ATCC_29799_14,Bacteroides_vulgatus_ATCC_8482,Pseudoflavonifractor_capillosus_strain_ATCC_29799,-0.0041628026009248
Phocaeicola_vulgatus_ATCC_8482_0,Ruminococcus_albus_7_DSM_20455_5,Bacteroides_vulgatus_ATCC_8482,Ruminococcus_albus_7,-0.114780303078083
Blautia_obeum_ATCC_29174_0,Collinsella_tanakaei_YIT_12063_0,Blautia_obeum_ATCC_29174,Collinsella_tanakaei_YIT_12063,0.0548346510129187
Blautia_obeum_ATCC_29174_0,_gnavus_ATCC_29149_0,Blautia_obeum_ATCC_29174,Ruminococcus_gnavus_ATCC_29149,0.0002557268746264
Blautia_obeum_ATCC_29174_0,Lachnospira_multipara_ATCC_19207_0,Blautia_obeum_ATCC_29174,Lachnospira_multipara_ATCC_19207,0.06400126355285
Blautia_obeum_ATCC_29174_0,_hylemonae_DSM_15053_1,Blautia_obeum_ATCC_29174,Clostridium_hylemonae_DSM_15053,0.0126760678320661
Blautia_obeum_ATCC_29174_0,Eubacterium_brachy_ATCC_33089_0,Blautia_obeum_ATCC_29174,Eubacterium_brachy_ATCC_33089,0.130665274917387
Blautia_obeum_ATCC_29174_0,Terrisporobacter_glycolicus_ATCC_14880_DSM_1288_3,Blautia_obeum_ATCC_29174,Clostridium_glycolicum_ATCC_14880,-0.0124868296098083
Blautia_obeum_ATCC_29174_0,_hylemonae_DSM_15053_2,Blautia_obeum_ATCC_29174,Clostridium_hylemonae_DSM_15053,-0.0123308125180312
Blautia_obeum_ATCC_29174_0,_lactaris_ATCC_29176_14,Blautia_obeum_ATCC_29174,Ruminococcus_lactaris_ATCC_29176,0.0018645926986845
Blautia_obeum_ATCC_29174_0,_symbiosum_ATCC_14940_0,Blautia_obeum_ATCC_29174,Clostridium_symbiosum_ATCC_14940,-0.0180100573830354
Blautia_obeum_ATCC_29174_0,Pseudoramibacter_alactolyticus_ATCC_23263_0,Blautia_obeum_ATCC_29174,Pseudoramibacter_alactolyticus_ATCC_23263,-0.075565518951589
_rectale_ATCC_33656_0,Coprococcus_comes_ATCC_27758_1,Eubacterium_rectale_ATCC_33656,Coprococcus_comes_ATCC_27758,0.0646008749713978
_rectale_ATCC_33656_0,Ruminococcus_champanellensis_18P13_JCM_17042_5,Eubacterium_rectale_ATCC_33656,Ruminococcus_champanellensis_18P13,-0.0526345270685976
_rectale_ATCC_33656_0,Enterococcus_dispar_ATCC_51266_0,Eubacterium_rectale_ATCC_33656,Enterococcus_dispar_ATCC_51266,-0.0158669835695518
_rectale_ATCC_33656_0,_methylpentosum_12,Eubacterium_rectale_ATCC_33656,Clostridium_methylpentosum_R2_DSM_5476,0.0088641157995514
_rectale_ATCC_33656_0,_methoxybenzovorans_SR3_21,Eubacterium_rectale_ATCC_33656,Clostridium_methoxybenzovorans_SR3,-0.0152224040171024
_rectale_ATCC_33656_0,Oxalobacter_formigenes_HOxBLS_0,Eubacterium_rectale_ATCC_33656,Oxalobacter_formigenes_HOxBLS,-0.0080084237996827
_rectale_ATCC_33656_0,Eubacterium_sulci_ATCC_35585_11,Eubacterium_rectale_ATCC_33656,Eubacterium_sulci_ATCC_35585,-0.0178780559614019
_rectale_ATCC_33656_0,_rectale_ATCC_33656_7,Eubacterium_rectale_ATCC_33656,Eubacterium_rectale_ATCC_33656,-0.0467822844489257
_methylpentosum_2,_methylpentosum_5,Clostridium_methylpentosum_R2_DSM_5476,Clostridium_methylpentosum_R2_DSM_5476,-0.262700306759038
_methylpentosum_2,Lachnospira_multipara_ATCC_19207_1,Clostridium_methylpentosum_R2_DSM_5476,Lachnospira_multipara_ATCC_19207,-0.0096092452494904
_methylpentosum_2,Pseudoflavonifractor_capillosus_ATCC_29799_3,Clostridium_methylpentosum_R2_DSM_5476,Pseudoflavonifractor_capillosus_strain_ATCC_29799,0.0357739991307906
_methylpentosum_2,_methoxybenzovorans_SR3_30,Clostridium_methylpentosum_R2_DSM_5476,Clostridium_methoxybenzovorans_SR3,-0.0126807101768597
_methylpentosum_2,Amedibacillus_dolichus_DSM_3991_4,Clostridium_methylpentosum_R2_DSM_5476,Eubacterium_dolichum_DSM_3991,-0.0087046775735221
_methylpentosum_2,Pseudoflavonifractor_capillosus_ATCC_29799_19,Clostridium_methylpentosum_R2_DSM_5476,Pseudoflavonifractor_capillosus_strain_ATCC_29799,0.0799021327068327
_methylpentosum_2,Holdemania_filiformis_2,Clostridium_methylpentosum_R2_DSM_5476,Holdemania_filiformis_VPI_J1_31B_1_DSM_12042,-0.0065375406993953
_methylpentosum_2,Ruminiclostridium_cellobioparum_DSM_1351_ATCC_15832_37,Clostridium_methylpentosum_R2_DSM_5476,Clostridium_cellobioparum_DSM_1351,-0.003568305506728
Bifidobacterium_adolescentis_ATCC_15703_0,Akkermansia_muciniphila_ATCC_BAA835_0,Bifidobacterium_adolescentis_ATCC_15703,Akkermansia_muciniphila_ATCC_BAA_835,0.058292553813431
Bifidobacterium_adolescentis_ATCC_15703_0,Bifidobacterium_longum_infantis_ATCC_15697_0,Bifidobacterium_adolescentis_ATCC_15703,Bifidobacterium_longum_infantis_ATCC_15697,0.133529959637737
Bifidobacterium_adolescentis_ATCC_15703_0,Gordonibacter_pamelaeae_0,Bifidobacterium_adolescentis_ATCC_15703,Gordonibacter_pamelaeae_7_10_1_bT_DSM_19378,0.0004300556120366
Bifidobacterium_adolescentis_ATCC_15703_0,Marvinbryantia_formatexigens_0,Bifidobacterium_adolescentis_ATCC_15703,Marvinbryantia_formatexigens_I_52_DSM_14469,0.0033891850504483
Bifidobacterium_adolescentis_ATCC_15703_0,Blautia_obeum_ATCC_29174_5,Bifidobacterium_adolescentis_ATCC_15703,Blautia_obeum_ATCC_29174,-0.0252185999080301
Bifidobacterium_adolescentis_ATCC_15703_0,_methoxybenzovorans_SR3_8,Bifidobacterium_adolescentis_ATCC_15703,Clostridium_methoxybenzovorans_SR3,-0.0197864796069165
Bifidobacterium_adolescentis_ATCC_15703_0,_lactaris_ATCC_29176_7,Bifidobacterium_adolescentis_ATCC_15703,Ruminococcus_lactaris_ATCC_29176,-0.0167227715433733
Bifidobacterium_adolescentis_ATCC_15703_0,_lactaris_ATCC_29176_11,Bifidobacterium_adolescentis_ATCC_15703,Ruminococcus_lactaris_ATCC_29176,-0.0147224375234814
Bifidobacterium_adolescentis_ATCC_15703_0,_methylpentosum_20,Bifidobacterium_adolescentis_ATCC_15703,Clostridium_methylpentosum_R2_DSM_5476,0.0048587994611521
Bifidobacterium_adolescentis_ATCC_15703_0,_methoxybenzovorans_SR3_45,Bifidobacterium_adolescentis_ATCC_15703,Clostridium_methoxybenzovorans_SR3,-0.0012125398748388
_lactaris_ATCC_29176_0,_gnavus_ATCC_29149_0,Ruminococcus_lactaris_ATCC_29176,Ruminococcus_gnavus_ATCC_29149,0.0734297448893052
_lactaris_ATCC_29176_0,Bifidobacterium_longum_infantis_ATCC_15697_0,Ruminococcus_lactaris_ATCC_29176,Bifidobacterium_longum_infantis_ATCC_15697,0.0533141365407478
_lactaris_ATCC_29176_0,_methylpentosum_6,Ruminococcus_lactaris_ATCC_29176,Clostridium_methylpentosum_R2_DSM_5476,0.0092723801394623
_lactaris_ATCC_29176_0,Coprococcus_comes_ATCC_27758_0,Ruminococcus_lactaris_ATCC_29176,Coprococcus_comes_ATCC_27758,0.001162142442515
_lactaris_ATCC_29176_0,Coprococcus_comes_ATCC_27758_1,Ruminococcus_lactaris_ATCC_29176,Coprococcus_comes_ATCC_27758,0.0033451584794948
_lactaris_ATCC_29176_0,_eligens_ATCC_27750_1,Ruminococcus_lactaris_ATCC_29176,Eubacterium_eligens_ATCC_27750,0.0090400189302547
_lactaris_ATCC_29176_0,Ruminiclostridium_cellobioparum_DSM_1351_ATCC_15832_2,Ruminococcus_lactaris_ATCC_29176,Clostridium_cellobioparum_DSM_1351,-0.049820008489801
_lactaris_ATCC_29176_0,_gnavus_ATCC_29149_1,Ruminococcus_lactaris_ATCC_29176,Ruminococcus_gnavus_ATCC_29149,0.0120201023226627
_lactaris_ATCC_29176_0,Alistipes_indistinctus_YIT_12060_1,Ruminococcus_lactaris_ATCC_29176,Alistipes_indistinctus_YIT_12060,-0.0142043082901552
_lactaris_ATCC_29176_0,_methoxybenzovorans_SR3_30,Ruminococcus_lactaris_ATCC_29176,Clostridium_methoxybenzovorans_SR3,-0.0113714767570771
_lactaris_ATCC_29176_0,Raoultella_planticola_ATCC_33531_0,Ruminococcus_lactaris_ATCC_29176,Raoultella_planticola_ATCC_33531,-0.015438659477804
_lactaris_ATCC_29176_0,_methoxybenzovorans_SR3_41,Ruminococcus_lactaris_ATCC_29176,Clostridium_methoxybenzovorans_SR3,-0.0540825081602616
Escherichia_fergusonii_ATCC_35469_0,_eligens_ATCC_27750_0,Escherichia_fergusonii_ATCC_35469,Eubacterium_eligens_ATCC_27750,-0.0981666214229966
Escherichia_fergusonii_ATCC_35469_0,Terrisporobacter_glycolicus_ATCC_14880_DSM_1288_0,Escherichia_fergusonii_ATCC_35469,Clostridium_glycolicum_ATCC_14880,-0.0231261983556801
Escherichia_fergusonii_ATCC_35469_0,Eubacterium_ramulus_ATCC_29099_0,Escherichia_fergusonii_ATCC_35469,Eubacterium_ramulus_ATCC_29099,-0.113885381880265
Escherichia_fergusonii_ATCC_35469_0,Enterococcus_dispar_ATCC_51266_0,Escherichia_fergusonii_ATCC_35469,Enterococcus_dispar_ATCC_51266,0.0097268638882992
Escherichia_fergusonii_ATCC_35469_0,Bifidobacterium_catenulatum_subsp._kashiwanohense_JCM_15439_DSM_21854_1,Escherichia_fergusonii_ATCC_35469,Bifidobacterium_kashiwanohense_DSM_21854,0.0124552456271838
Escherichia_fergusonii_ATCC_35469_0,Streptococcus_constellatus_subsp._pharyngis_SK1060_CCUG_46377_0,Escherichia_fergusonii_ATCC_35469,Streptococcus_constellatus_subsp_pharyngis_SK1060,0.104996231085405
Escherichia_fergusonii_ATCC_35469_0,Odoribacter_laneus_YIT_12061_0,Escherichia_fergusonii_ATCC_35469,Odoribacter_laneus_YIT_12061,0.0156294508823614
Escherichia_fergusonii_ATCC_35469_0,Ruminiclostridium_cellobioparum_DSM_1351_ATCC_15832_27,Escherichia_fergusonii_ATCC_35469,Clostridium_cellobioparum_DSM_1351,-0.0534854729570969
Escherichia_fergusonii_ATCC_35469_0,Parabacteroides_distasonis_ATCC_8503_0,Escherichia_fergusonii_ATCC_35469,Parabacteroides_distasonis_ATCC_8503,0.0024459806919222
_eligens_ATCC_27750_0,Lachnospira_multipara_ATCC_19207_0,Eubacterium_eligens_ATCC_27750,Lachnospira_multipara_ATCC_19207,0.0697520727400402
_eligens_ATCC_27750_0,Lachnospira_multipara_ATCC_19207_1,Eubacterium_eligens_ATCC_27750,Lachnospira_multipara_ATCC_19207,0.104434786315217
_eligens_ATCC_27750_0,Enterococcus_dispar_ATCC_51266_0,Eubacterium_eligens_ATCC_27750,Enterococcus_dispar_ATCC_51266,-0.0293267586457054
_eligens_ATCC_27750_0,Ruminiclostridium_cellobioparum_DSM_1351_ATCC_15832_9,Eubacterium_eligens_ATCC_27750,Clostridium_cellobioparum_DSM_1351,-0.0043862785546314
_eligens_ATCC_27750_0,Desulfovibrio_piger_ATCC_29098_1,Eubacterium_eligens_ATCC_27750,Desulfovibrio_piger_ATCC_29098,-0.0967548544827012
_eligens_ATCC_27750_0,Veillonella_parvula_DSM_2008_0,Eubacterium_eligens_ATCC_27750,Veillonella_parvula_Te3_DSM_2008,-0.0037493664098424
_eligens_ATCC_27750_0,Clostridium_perfringens_ATCC_13124_4,Eubacterium_eligens_ATCC_27750,Clostridium_perfringens_ATCC_13124,-0.115895197198124
_eligens_ATCC_27750_0,Clostridium_perfringens_ATCC_13124_7,Eubacterium_eligens_ATCC_27750,Clostridium_perfringens_ATCC_13124,-0.0057817240351871
_eligens_ATCC_27750_0,_lactaris_ATCC_29176_16,Eubacterium_eligens_ATCC_27750,Ruminococcus_lactaris_ATCC_29176,-0.0150690171946803
_eligens_ATCC_27750_0,_methylpentosum_35,Eubacterium_eligens_ATCC_27750,Clostridium_methylpentosum_R2_DSM_5476,-0.0167408851288312
Collinsella_tanakaei_YIT_12063_0,_gnavus_ATCC_29149_0,Collinsella_tanakaei_YIT_12063,Ruminococcus_gnavus_ATCC_29149,0.043133294482468
Collinsella_tanakaei_YIT_12063_0,Blautia_obeum_ATCC_29174_1,Collinsella_tanakaei_YIT_12063,Blautia_obeum_ATCC_29174,0.0483822891727948
Collinsella_tanakaei_YIT_12063_0,Lachnospira_multipara_ATCC_19207_1,Collinsella_tanakaei_YIT_12063,Lachnospira_multipara_ATCC_19207,-0.0029033788684473
Collinsella_tanakaei_YIT_12063_0,Bacteroides_caccae_ATCC_43185_0,Collinsella_tanakaei_YIT_12063,Bacteroides_caccae_ATCC_43185,0.0062336742080516
Collinsella_tanakaei_YIT_12063_0,_methoxybenzovorans_SR3_3,Collinsella_tanakaei_YIT_12063,Clostridium_methoxybenzovorans_SR3,-0.0308521849404499
Collinsella_tanakaei_YIT_12063_0,Bacteroides_fragilis_NCTC_9343_0,Collinsella_tanakaei_YIT_12063,Bacteroides_fragilis_NCTC_9343,-0.0616896681720423
Collinsella_tanakaei_YIT_12063_0,Gordonibacter_pamelaeae_0,Collinsella_tanakaei_YIT_12063,Gordonibacter_pamelaeae_7_10_1_bT_DSM_19378,0.0177880168394814
Collinsella_tanakaei_YIT_12063_0,Slackia_exigua_ATCC_700122_0,Collinsella_tanakaei_YIT_12063,Slackia_exigua_ATCC_700122,0.0112835943788772
Collinsella_tanakaei_YIT_12063_0,Anaerostipes_caccae_L192_0,Collinsella_tanakaei_YIT_12063,Anaerostipes_caccae_DSM_14662,0.0003253218691895
Collinsella_tanakaei_YIT_12063_0,Barnesiella_intestinihominis_YIT_11860_4,Collinsella_tanakaei_YIT_12063,Barnesiella_intestinihominis_YIT_11860,-0.0231895154721166
Collinsella_tanakaei_YIT_12063_0,Eubacterium_sulci_ATCC_35585_11,Collinsella_tanakaei_YIT_12063,Eubacterium_sulci_ATCC_35585,-0.0289149599551554
Collinsella_tanakaei_YIT_12063_0,_methoxybenzovorans_SR3_44,Collinsella_tanakaei_YIT_12063,Clostridium_methoxybenzovorans_SR3,-0.14118005922843
Collinsella_tanakaei_YIT_12063_0,Ruminiclostridium_cellobioparum_DSM_1351_ATCC_15832_44,Collinsella_tanakaei_YIT_12063,Clostridium_cellobioparum_DSM_1351,-0.0026019824842642
_gnavus_ATCC_29149_0,Blautia_obeum_ATCC_29174_1,Ruminococcus_gnavus_ATCC_29149,Blautia_obeum_ATCC_29174,0.0157169910485588
_gnavus_ATCC_29149_0,Blautia_obeum_ATCC_29174_3,Ruminococcus_gnavus_ATCC_29149,Blautia_obeum_ATCC_29174,0.0766157174873716
_gnavus_ATCC_29149_0,_methoxybenzovorans_SR3_6,Ruminococcus_gnavus_ATCC_29149,Clostridium_methoxybenzovorans_SR3,0.0363686133390242
_gnavus_ATCC_29149_0,Parabacteroides_distasonis_ATCC_8503_0,Ruminococcus_gnavus_ATCC_29149,Parabacteroides_distasonis_ATCC_8503,-0.040622882365901
_gnavus_ATCC_29149_0,Amedibacillus_dolichus_DSM_3991_4,Ruminococcus_gnavus_ATCC_29149,Eubacterium_dolichum_DSM_3991,-0.0020551754500698
_gnavus_ATCC_29149_0,_methoxybenzovorans_SR3_32,Ruminococcus_gnavus_ATCC_29149,Clostridium_methoxybenzovorans_SR3,-0.0237544467692657
_gnavus_ATCC_29149_0,Gordonibacter_pamelaeae_7,Ruminococcus_gnavus_ATCC_29149,Gordonibacter_pamelaeae_7_10_1_bT_DSM_19378,-0.0741325698526234
_gnavus_ATCC_29149_0,Unidentified_Christensenellaceae_R-7_group_13,Ruminococcus_gnavus_ATCC_29149,Unidentified_Christensenellaceae_R-7_group_13,-0.0094429842817851
Akkermansia_muciniphila_ATCC_BAA835_0,Prevotella_melaninogenica_ATCC_25845_1,Akkermansia_muciniphila_ATCC_BAA_835,Prevotella_melaninogenica_ATCC_25845,-0.0219389780974983
Akkermansia_muciniphila_ATCC_BAA835_0,Akkermansia_muciniphila_ATCC_BAA835_1,Akkermansia_muciniphila_ATCC_BAA_835,Akkermansia_muciniphila_ATCC_BAA_835,-0.10745475940726
Akkermansia_muciniphila_ATCC_BAA835_0,_lactaris_ATCC_29176_5,Akkermansia_muciniphila_ATCC_BAA_835,Ruminococcus_lactaris_ATCC_29176,-0.0195549608947965
Akkermansia_muciniphila_ATCC_BAA835_0,Bacteroides_fluxus_YIT_12057_2,Akkermansia_muciniphila_ATCC_BAA_835,Bacteroides_fluxus_YIT_12057,-0.0179625177468326
Akkermansia_muciniphila_ATCC_BAA835_0,Alistipes_finegoldii_DSM_17242_1,Akkermansia_muciniphila_ATCC_BAA_835,Alistipes_finegoldii_DSM_17242,0.0004802871222641
Akkermansia_muciniphila_ATCC_BAA835_0,Clostridium_perfringens_ATCC_13124_2,Akkermansia_muciniphila_ATCC_BAA_835,Clostridium_perfringens_ATCC_13124,0.0160656492144508
Akkermansia_muciniphila_ATCC_BAA835_0,Alistipes_shahii_WAL_8301_1,Akkermansia_muciniphila_ATCC_BAA_835,Alistipes_shahii_WAL_8301,0.004505968976562
Akkermansia_muciniphila_ATCC_BAA835_0,Marvinbryantia_formatexigens_2,Akkermansia_muciniphila_ATCC_BAA_835,Marvinbryantia_formatexigens_I_52_DSM_14469,0.0716340237263904
Akkermansia_muciniphila_ATCC_BAA835_0,Ruminiclostridium_cellobioparum_DSM_1351_ATCC_15832_13,Akkermansia_muciniphila_ATCC_BAA_835,Clostridium_cellobioparum_DSM_1351,0.0385500996538669
Akkermansia_muciniphila_ATCC_BAA835_0,Clostridium_perfringens_ATCC_13124_4,Akkermansia_muciniphila_ATCC_BAA_835,Clostridium_perfringens_ATCC_13124,-0.0143554980676384
Akkermansia_muciniphila_ATCC_BAA835_0,Lachnospira_multipara_ATCC_19207_7,Akkermansia_muciniphila_ATCC_BAA_835,Lachnospira_multipara_ATCC_19207,0.0080720798807921
Akkermansia_muciniphila_ATCC_BAA835_0,Blautia_obeum_ATCC_29174_9,Akkermansia_muciniphila_ATCC_BAA_835,Blautia_obeum_ATCC_29174,-0.0580621497597578
Akkermansia_muciniphila_ATCC_BAA835_0,_hylemonae_DSM_15053_5,Akkermansia_muciniphila_ATCC_BAA_835,Clostridium_hylemonae_DSM_15053,-0.0069333630520935
Akkermansia_muciniphila_ATCC_BAA835_0,Olsenella_uli_DSM_7084_1,Akkermansia_muciniphila_ATCC_BAA_835,Olsenella_uli_DSM_7084,0.0734689213842861
Akkermansia_muciniphila_ATCC_BAA835_0,Unidentified_Firmicutes_0,Akkermansia_muciniphila_ATCC_BAA_835,Unidentified_Firmicutes_0,0.0046427915899295
Prevotella_melaninogenica_ATCC_25845_0,Prevotella_melaninogenica_ATCC_25845_1,Prevotella_melaninogenica_ATCC_25845,Prevotella_melaninogenica_ATCC_25845,0.541051364021004
Prevotella_melaninogenica_ATCC_25845_0,Acidaminococcus_fermentans_DSM_20731_0,Prevotella_melaninogenica_ATCC_25845,Acidaminococcus_fermentans_DSM_20731,-0.026712375490506
Prevotella_melaninogenica_ATCC_25845_0,Acidaminococcus_fermentans_DSM_20731_1,Prevotella_melaninogenica_ATCC_25845,Acidaminococcus_fermentans_DSM_20731,0.131302440340316
Prevotella_melaninogenica_ATCC_25845_0,Bilophila_wadsworthia_316_0,Prevotella_melaninogenica_ATCC_25845,Bilophila_wadsworthia_3_1_6,-0.0278863700613865
Prevotella_melaninogenica_ATCC_25845_0,Prevotella_stercorea_DSM_18206_0,Prevotella_melaninogenica_ATCC_25845,Prevotella_stercorea_DSM_18206,0.0053022333108872
Prevotella_melaninogenica_ATCC_25845_0,Prevotella_copri_0,Prevotella_melaninogenica_ATCC_25845,Prevotella_copri_CB7_DSM_18205,0.057632321208031
Prevotella_melaninogenica_ATCC_25845_0,Dialister_succinatiphilus_YIT_11850_0,Prevotella_melaninogenica_ATCC_25845,Dialister_succinatiphilus_YIT_11850,0.0695831525005951
Prevotella_melaninogenica_ATCC_25845_0,Tyzzerella_nexilis_DSM_1787_1,Prevotella_melaninogenica_ATCC_25845,Clostridium_nexile_DSM_1787,-0.0140589297794144
Prevotella_melaninogenica_ATCC_25845_0,Acetivibrio_clariflavus_DSM_19732_7,Prevotella_melaninogenica_ATCC_25845,Clostridium_clariflavum_DSM_19732,-0.0106264050902781
Blautia_obeum_ATCC_29174_1,Lachnospira_multipara_ATCC_19207_0,Blautia_obeum_ATCC_29174,Lachnospira_multipara_ATCC_19207,0.0446947018851053
Blautia_obeum_ATCC_29174_1,Coprococcus_comes_ATCC_27758_0,Blautia_obeum_ATCC_29174,Coprococcus_comes_ATCC_27758,0.100809739348132
