AGORA Model Name,TaxTree/NCBI ID,Tag,OpACIN-fDNA-001,OpACIN-fDNA-002,OpACIN-fDNA-003,OpACIN-fDNA-004,OpACIN-fDNA-005,OpACIN-fDNA-006,OpACIN-fDNA-007,OpACIN-fDNA-008,OpACIN-fDNA-009,OpACIN-fDNA-010,OpACIN-fDNA-011,OpACIN-fDNA-012,OpACIN-fDNA-013,OpACIN-fDNA-014,OpACIN-fDNA-015,OpACIN-fDNA-016,OpACIN-fDNA-017,OpACIN-fDNA-018,OpACIN-fDNA-019,OpACIN-fDNA-020,OpACIN-fDNA-021,OpACIN-fDNA-022,OpACIN-fDNA-023,OpACIN-fDNA-024,OpACIN-fDNA-025,OpACIN-fDNA-026,OpACIN-fDNA-027,OpACIN-fDNA-028,OpACIN-fDNA-029,OpACIN-fDNA-030,OpACIN-fDNA-031,OpACIN-fDNA-032,OpACIN-fDNA-033,OpACIN-fDNA-034,OpACIN-fDNA-035,OpACIN-fDNA-037,OpACIN-fDNA-038,OpACIN-fDNA-039,PAUS-base16567,PAUS-base20807,PAUS-base27704,PAUS-base34671,PAUS-base35603,PAUS-base36885,PAUS-base38798,PAUS-base44051,PAUS-base48040,PAUS-base48446,PAUS-base49317,PAUS-base49623,PAUS-base50750,PAUS-base51030,PAUS-base51377,PAUS-base51517,PAUS-base51558,PAUS-base51584,PAUS-base51679,PAUS-base51771,PAUS-base51823,PAUS-base51884,PAUS-base51887,PAUS-base51902,PAUS-base52021,PAUS-base52436,PAUS-base52513,PAUS-base52521,PAUS-base52534,PAUS-base52550,PAUS-base52579,PAUS-base52729,PAUS-base52757,PradoNKIbase106,PradoNKIbase107,PradoNKIbase108,PradoNKIbase109,PradoNKIbase110,PradoNKIbase112,PradoNKIbase113,PradoNKIbase114,PradoNKIbase115,PradoNKIbase116,PradoNKIbase117,PradoNKIbase118,PradoNKIbase119,PradoNKIbase120,PradoNKIbase121,PradoNKIbase122,PradoNKIbase123,PradoNKIbase124,PradoNKIbase125,PradoNKIbase128,PradoNKIbase129,PradoNKIbase130,PradoNKIbase131,PradoNKIbase132,PradoNKIbase134,PradoNKIbase135,PradoNKIbase136,PradoNKIbase137,PradoNKIbase139,PradoNKIbase140,PradoNKIbase142,PradoNKIbase143
Eubacterium_eligens_ATCC_27750, eligens ATCC 27750,_eligens_ATCC_27750_0,714,3595,1398,313,46,1299,1958,3374,0,4542,2361,1235,596,722,3200,1919,1479,91,297,0,898,565,188,158,1936,649,1384,0,1547,6725,2955,849,1840,389,1468,1329,9397,1579,137,588,510,501,169,478,1801,572,1475,509,0,433,380,225,425,50,672,737,1356,198,829,1401,232,1577,2812,59,318,392,165,927,813,3309,213,1122,852,145,3394,1253,1072,679,3083,9688,1664,1813,837,2532,4417,12168,560,3482,281,2891,4584,5804,12726,2354,3195,2351,654,5202,1557,3257,499,1077,5761
Collinsella_tanakaei_YIT_12063,Collinsella tanakaei YIT 12063,Collinsella_tanakaei_YIT_12063_0,589,1214,2458,0,2426,218,1869,1627,0,0,0,1293,0,485,831,1500,463,566,503,0,1433,2593,327,3131,0,1142,1559,0,2587,0,0,1802,0,667,487,785,0,1042,0,0,0,454,0,981,1112,1205,0,0,425,840,496,111,0,543,652,0,0,307,526,0,1755,390,68,602,1128,285,0,0,135,250,643,1702,676,1093,0,850,5853,1306,10982,202,2505,1033,1161,14738,1249,437,1511,11062,15044,1140,10989,739,7728,1730,10405,5436,1349,1143,0,9129,10341,835,5159
Ruminococcus_gnavus_ATCC_29149, gnavus ATCC 29149,_gnavus_ATCC_29149_0,1661,3069,0,4391,2256,950,2519,1688,0,0,0,0,744,362,1196,1370,685,144,962,0,949,2095,1013,2981,802,511,1496,0,1207,0,3251,3215,2410,385,825,1165,0,1519,749,0,0,305,825,917,780,1266,952,660,184,1177,217,712,994,209,879,0,0,978,248,24,1120,0,171,1418,398,605,920,1839,256,768,525,1786,2313,712,2482,3313,1714,4601,6110,2126,1401,2444,2063,6444,2436,5855,2929,2597,3862,3670,2657,1658,975,1769,3052,4894,496,3957,2025,16271,10773,1912,7443
Akkermansia_muciniphila_ATCC_BAA_835,Akkermansia muciniphila ATCC BAA-835,Akkermansia_muciniphila_ATCC_BAA835_0,181,1923,1836,3344,0,0,0,6560,0,0,0,71,46,0,17,3,2,0,0,0,0,0,0,0,608,0,1045,0,0,0,0,0,0,3123,946,2982,0,0,0,165,0,0,0,36,92,140,0,0,0,1313,21,80,84,0,0,0,0,0,0,775,0,0,2416,0,7532,825,0,0,0,1508,718,2130,43,13,981,58,2700,1098,7989,597,6,0,0,6904,44,21974,0,40,13,37998,764,11906,10,115,10,5,25308,20,8887,5,37,11,167
Prevotella_melaninogenica_ATCC_25845,Prevotella melaninogenica ATCC 25845,Prevotella_melaninogenica_ATCC_25845_0,0,0,0,0,30686,0,15,0,0,0,0,0,0,0,34188,0,0,13,16880,0,21,0,20519,0,0,13764,0,0,9300,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1647,0,0,0,0,514,0,0,0,0,0,0,0,4473,0,0,114,0,0,0,0,0,0,0,299,0,0,9504,4644,351,0,8607,0,0,0,1108,14,0,0,11,3658,0,999,2321,720,88,752,0,0,0,171,711,0,0,0,0,726,0,535
Blautia_obeum_ATCC_29174,Blautia obeum ATCC 29174,Blautia_obeum_ATCC_29174_1,594,363,1119,166,994,820,2152,1844,0,0,0,0,463,768,2104,3962,497,2865,1254,0,779,1867,790,99,1791,1212,896,218,2778,0,63,43,1425,931,1650,241,2348,653,343,0,104,185,784,1926,327,678,260,0,76,127,1195,393,316,343,2539,0,326,433,439,40,164,1140,1167,926,565,404,405,0,1192,2531,200,2502,5145,3358,1847,1582,515,1088,5935,298,1827,556,2088,2245,4980,1191,4610,5566,3717,795,8169,12752,277,431,8006,5675,1900,2819,2671,425,3473,740,981
Clostridium_methylpentosum_R2_DSM_5476, methylpentosum,_methylpentosum_3,381,723,0,233,605,1539,2625,1617,0,331,0,0,920,882,1754,578,156,1559,130,3224,903,24,261,132,2431,203,519,0,504,0,262,2456,329,108,1180,204,1655,383,451,7,3444,0,0,3499,236,287,0,407,289,0,253,920,63,1173,549,0,1748,364,1044,0,350,1270,245,0,316,2277,1654,2441,847,418,761,283,2310,1900,4973,2589,1028,1254,7528,7347,4609,410,326,3630,511,2170,7419,1130,7925,2672,9919,4214,162,160,1854,1180,97,912,1732,708,2125,2621,2868
Clostridium_spiroforme_DSM_1552, spiroforme DSM 1552,_spiroforme_DSM_1552_0,326,507,187,29,0,300,1016,460,0,37,0,5744,1247,1373,0,1216,1413,1253,192,0,1220,0,283,598,1732,187,667,273,3532,0,137,3238,721,718,755,645,794,1144,173,0,260,0,0,1305,15,247,2758,1395,0,300,839,313,3216,0,0,0,4092,8,217,21,78,0,1947,198,18,259,1811,0,874,804,367,2907,1966,181,4554,1510,1708,987,3448,162,0,31,4321,134,7573,3191,4709,2101,772,2091,2536,1911,14557,722,984,585,322,1915,1349,13,2333,8671,843
Bifidobacterium_longum_infantis_ATCC_15697,None,Bifidobacterium_longum_infantis_ATCC_15697_0,1284,1954,2624,3709,769,0,6062,1551,0,5802,815,0,0,1607,1637,4401,0,240,0,8260,1689,1672,40,6368,158,0,2049,0,176,22,11255,345,208,126,216,81,0,3196,33,232,1250,442,0,1058,317,0,1570,0,0,0,1353,194,0,194,20,0,1123,0,474,607,67,0,154,0,208,787,0,598,1533,0,64,143,356,165,4915,601,775,3694,2199,0,0,547,0,5855,0,491,203,144,6358,43,0,0,0,1599,0,208,850,825,3457,2776,4507,435,892
Clostridium_methylpentosum_R2_DSM_5476, methylpentosum,_methylpentosum_4,3197,591,0,1041,228,938,2219,1722,0,224,0,0,497,81,577,277,743,537,85,1023,845,47,324,257,103,88,1853,375,483,0,0,1827,1145,4198,746,963,323,1801,341,49,333,0,0,1006,1214,228,62,442,215,355,202,1391,0,303,125,0,438,227,91,89,853,1201,1069,0,2146,515,2843,45,834,144,364,489,2132,2116,10,2495,2925,432,512,161,2939,720,5465,2144,831,11692,4945,2596,247,408,0,153,212,4426,3720,1785,1206,695,5814,1155,1603,1076,1825
Methanobrevibacter_smithii_ATCC_35061,Methanobrevibacter smithii ATCC 35061,Methanobrevibacter_smithii_ATCC_35061_0,3811,1219,0,1153,140,43,0,2135,433,0,0,0,0,2513,0,26,0,1164,169,0,0,0,0,29,0,0,3471,0,2493,0,0,1504,0,964,0,0,2,0,0,235,0,0,0,0,1499,445,0,0,722,0,0,263,0,90,0,0,0,253,0,620,5818,0,0,0,3000,685,0,10,1291,202,465,184,0,104,0,0,4197,2,0,9185,34,4133,7140,3581,251,8065,0,999,7,10519,2,3347,5,2122,0,62,13980,181,2219,0,2082,0,2370
Eubacterium_rectale_ATCC_33656, rectale ATCC 33656,_rectale_ATCC_33656_1,1198,0,160,0,0,781,0,2301,0,0,0,0,298,235,0,0,678,1087,296,0,1319,0,416,0,766,1039,667,0,591,0,202,322,568,1816,406,0,0,0,0,400,271,2719,136,0,379,4371,244,354,1050,0,1578,277,653,0,0,0,0,396,2948,520,0,1032,195,8605,286,1731,1123,118,328,1069,1280,0,0,3069,0,786,2262,5110,153,0,5959,335,519,452,0,0,12510,1191,6487,0,1437,0,0,3505,278,0,0,5980,5890,5335,325,2510,0
Blautia_producta_DSM_2950,Blautia producta ATCC 27340 = DSM 2950,Blautia_producta_ATCC_27340_DSM_2950_0,301,2669,1036,133,574,341,1685,982,0,1199,0,1186,677,1481,219,706,546,2655,802,824,432,102,830,630,2316,327,1338,295,941,0,2201,905,590,240,1104,1273,469,482,192,159,416,230,1019,344,275,245,159,982,564,620,373,590,2783,399,367,2526,447,71,433,259,1170,314,376,198,144,330,1684,0,1828,745,250,125,2106,559,2219,1551,469,667,1659,3400,1965,1494,1254,1647,377,3179,2186,888,487,398,5357,3287,4084,3660,2912,1922,562,1428,1552,424,1882,1291,1190
Bacteroides_vulgatus_ATCC_8482,Phocaeicola vulgatus ATCC 8482,Phocaeicola_vulgatus_ATCC_8482_1,376,0,0,0,661,846,419,599,31,6100,688,196,0,1525,0,6259,0,1494,0,3945,864,0,346,0,0,2775,0,464,1084,1304,4219,0,0,0,1679,7879,14354,0,0,0,0,868,0,82,263,0,867,0,0,0,10083,442,0,170,757,0,167,0,0,0,0,159,622,916,77,0,0,0,298,375,0,757,593,214,6844,217,0,1047,529,93,0,259,293,254,208,0,4637,0,1181,0,664,943,929,0,3585,148,329,1740,4450,1976,0,0,0
Clostridium_methylpentosum_R2_DSM_5476, methylpentosum,_methylpentosum_5,0,907,0,0,0,0,0,0,0,0,0,7613,1338,0,0,0,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2754,0,0,3741,0,0,0,0,0,0,478,0,0,3574,0,0,0,0,0,97,0,0,0,1372,0,0,2164,0,0,0,0,0,0,0,0,8941,0,2571,3831,0,0,47,0,0,8190,0,7765,2733,18320,6432,0,0,0,3111,1626,0,0,1476,984,1413,12688,73,0,0,0
Eubacterium_dolichum_DSM_3991,Amedibacillus dolichus DSM 3991,Amedibacillus_dolichus_DSM_3991_0,0,0,6616,0,0,0,656,0,0,0,0,0,0,5990,0,0,0,0,0,0,0,5054,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1869,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,5147,0,0,0,4777,3945,101,0,4,0,0,0,4,0,0,0,16770,7,0,0,11799,7,0,0,5905,0,17601,3,6537,5521,0,0,11,5213,0,0
Lachnospira_multipara_ATCC_19207,Lachnospira multipara ATCC 19207,Lachnospira_multipara_ATCC_19207_0,385,82,0,946,225,1072,1360,955,0,1141,0,2670,1461,2016,993,819,363,34,0,0,0,560,292,260,258,409,586,0,520,0,621,185,0,451,814,200,1091,638,531,0,0,163,0,949,305,671,0,57,0,0,66,191,0,0,1127,0,798,428,368,0,287,974,1309,626,636,156,777,0,688,1154,360,1084,1101,1212,1555,904,761,2150,1494,872,1382,335,1492,2773,3496,917,1287,1813,2499,3009,3727,5176,1579,1472,4590,3297,748,2521,1985,8241,974,1103,3129
Streptococcus_cristatus_ATCC_51100,Streptococcus cristatus ATCC 51100,Streptococcus_cristatus_ATCC_51100_0,501,419,1238,4,3298,3053,1356,584,7857,2225,18,465,244,6528,146,233,326,425,404,100,29,29,1960,1960,111,32,9025,57,169,124,21,3843,158,31,264,45,173,204,0,21,1354,0,176,0,307,60,106,24,112,470,15,27,45,49,0,90,29,20,179,159,26,52,9,0,24,287,1481,356,226,16,47,114,440,855,30,448,243,27,1579,5,1963,0,25,115,2037,309,87,454,1269,3195,3058,880,410,636,3713,1616,10860,166,129,11928,0,0,26
Bacteroides_fluxus_YIT_12057,Bacteroides fluxus YIT 12057,Bacteroides_fluxus_YIT_12057_0,659,68,304,2190,424,164,1572,320,0,0,6868,185,0,5537,97,1242,361,6182,990,5741,216,681,164,1649,1124,1137,1062,15904,141,656,0,580,1107,985,2105,1750,2944,825,120,0,469,0,0,526,267,472,0,0,384,110,796,365,120,452,325,0,623,0,3464,0,281,47,330,486,235,231,0,1790,320,575,81,93,53,0,127,271,0,208,304,79,7358,358,0,0,1449,3242,1715,434,380,0,157,0,480,0,0,21,109,1576,734,0,0,27,499
Clostridium_methylpentosum_R2_DSM_5476, methylpentosum,_methylpentosum_6,132,918,0,156,75,4700,349,271,0,496,0,0,3078,513,2662,3374,251,2975,806,631,1851,0,815,0,1775,542,396,4151,978,8,3525,0,281,1034,3767,1765,2774,167,3003,0,0,113,0,180,799,676,0,2059,435,70,485,961,0,298,0,0,608,671,706,0,0,1237,66,95,0,3308,645,1466,227,33,637,304,2406,151,0,1915,192,892,249,139,0,401,1085,165,391,638,8294,247,188,32,889,216,23,2889,132,762,231,3526,3045,37,0,471,507
Clostridium_glycolicum_ATCC_14880,Terrisporobacter glycolicus ATCC 14880 = DSM 1288,Terrisporobacter_glycolicus_ATCC_14880_DSM_1288_0,1115,1736,85,1442,5,61,83,1944,0,0,0,464,179,1317,1837,752,0,411,12,0,653,2272,817,1538,26,261,577,0,0,0,677,757,1922,38,3692,1466,0,1028,213,74,45,404,1115,55,1034,838,0,157,21,10,92,478,153,10,1589,571,331,412,295,758,6995,1007,735,0,179,393,362,276,75,24,402,122,68,189,6,1032,1408,130,1025,198,570,345,630,2781,1976,687,2109,90,19,8,134,0,967,1120,2590,5824,5137,217,156,157,6967,14,99
Ruminococcus_lactaris_ATCC_29176, lactaris ATCC 29176,_lactaris_ATCC_29176_1,884,27,0,0,0,295,3441,1491,0,398,0,0,2899,514,0,831,709,368,108,0,985,567,152,157,1044,0,867,0,455,0,0,1159,291,422,111,0,1322,3842,0,0,4548,0,0,360,991,0,0,446,0,759,1343,299,0,0,0,11,1385,263,0,111,312,607,211,0,696,134,73,1455,39,0,99,371,0,97,2126,601,630,1644,294,174,4399,120,2260,1624,1363,185,2276,3043,1415,1224,4543,2842,0,296,1986,1031,0,0,1478,0,0,683,2388
Prevotella_melaninogenica_ATCC_25845,Prevotella melaninogenica ATCC 25845,Prevotella_melaninogenica_ATCC_25845_1,0,0,0,0,8382,0,0,0,0,0,10,0,0,0,16590,0,0,0,8322,0,0,0,15890,0,0,2423,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,107,0,0,0,0,0,0,0,440,0,0,861,6195,67,0,3862,0,0,0,345,0,0,1163,0,0,0,4515,0,0,0,193,0,0,0,146,452,0,0,0,0,0,0,182
Bacteroides_stercoris_ATCC_43183,Bacteroides stercoris ATCC 43183,Bacteroides_stercoris_ATCC_43183_0,221,90,1034,0,0,739,0,0,0,0,6179,0,0,0,232,3321,201,404,607,0,3516,0,155,0,0,0,0,0,0,8093,2352,2447,612,258,4742,0,0,0,967,4411,0,5447,100,0,0,0,0,0,306,0,0,2130,553,3074,0,0,1464,0,1982,508,0,199,418,0,223,0,0,1379,43,0,148,0,147,9,0,0,253,1848,414,0,0,1100,0,0,31,0,0,18,0,0,258,0,0,0,0,15,323,1940,0,0,0,4111,137
Bacteroides_fluxus_YIT_12057,Bacteroides fluxus YIT 12057,Bacteroides_fluxus_YIT_12057_1,616,0,0,0,115,259,2037,287,0,2036,0,153,0,0,0,3468,377,0,166,1855,751,619,57,0,1121,733,0,0,488,0,0,0,2963,291,507,711,2674,340,85,132,134,0,0,168,0,86,1763,0,204,0,2986,0,1439,437,111,0,163,0,0,140,0,53,871,428,659,553,63,0,85,0,143,85,50,115,10979,280,365,758,607,0,4910,0,200,566,0,0,0,239,891,484,5593,199,771,1749,2472,0,181,0,2050,1237,320,0,0
Coprococcus_comes_ATCC_27758,Coprococcus comes ATCC 27758,Coprococcus_comes_ATCC_27758_0,451,662,0,0,1241,691,317,382,0,51,0,0,354,112,1031,561,522,626,705,0,384,871,315,464,474,114,332,56,387,6230,166,1679,504,350,270,978,653,1262,518,0,275,0,480,383,334,479,326,220,144,526,498,225,313,264,90,0,1061,269,468,67,699,791,25,252,365,318,132,0,398,500,140,277,625,1147,502,1083,1606,726,3298,998,1789,431,701,525,720,1624,300,1039,2623,994,1018,1325,11,492,0,1800,1165,761,892,1159,3863,361,708
Parabacteroides_merdae_ATCC_43184,Parabacteroides merdae ATCC 43184,Parabacteroides_merdae_ATCC_43184_0,508,1867,839,1559,191,266,662,621,7603,1229,580,0,0,807,1593,1730,0,901,1549,0,0,1306,291,547,0,1548,1049,10021,219,1626,509,788,778,212,0,0,0,3057,441,420,0,975,42,0,421,135,0,366,169,714,1836,629,165,520,96,0,0,0,662,161,202,117,119,362,224,0,367,143,150,49,0,235,420,45,0,523,41,1108,236,243,0,61,1064,101,1256,496,250,431,201,537,0,0,0,2575,516,161,678,263,0,177,150,733,108
Bacteroides_faecis_MAJ27,Bacteroides faecis MAJ27,Bacteroides_faecis_MAJ27_0,25,1031,0,108,78,281,1763,868,0,0,1251,122,0,384,419,1824,161,162,1081,0,125,207,327,624,641,298,0,202,307,69,414,368,271,382,544,1173,3179,226,162,641,0,131,0,0,91,57,220,280,70,18,1011,31,165,888,666,32358,64,0,200,350,0,48,107,28,61,129,483,527,82,440,0,232,158,166,776,88,89,145,78,112,0,56,135,296,295,114,100,392,117,175,442,203,87,343,0,71,14,70,0,149,47,0,73
Blautia_obeum_ATCC_29174,Blautia obeum ATCC 29174,Blautia_obeum_ATCC_29174_2,296,774,1958,407,1207,0,1375,953,0,0,0,0,288,89,978,646,535,0,287,935,73,811,337,559,3273,139,288,44,715,0,1853,2601,361,535,1642,362,669,2187,560,0,0,410,1171,1390,95,356,243,144,79,419,52,319,204,129,118,0,0,229,0,0,212,964,158,1045,219,156,212,0,0,0,220,820,961,0,0,0,2158,1823,288,629,617,518,3437,143,1262,916,405,2458,303,1718,2015,274,9,0,505,1489,40,2774,0,0,0,0,1047
